ID#,Name,Mock grades,GWA
2015-1580,Student 1,55.47,1.59167
2015-1507,Student 2,49.33,1.99
2015-1508,Student 3,38.93,2.26603
2015-1509,Student 4,56.67,1.85667
2015-1510,Student 5,54.67,1.975
2015-1511,Student 6,48.80,1.9
2015-1512,Student 7,50.53,1.91167
2015-1513,Student 8,51.33,2.02667
2015-1514,Student 9,51.60,1.88333
2015-1515,Student 10,53.73,2.01
2015-1516,Student 11,44.80,2.09667
2015-1517,Student 12,52.00,1.925
2015-1518,Student 13,49.73,2.06
2015-1519,Student 14,56.80,1.88667
2015-1520,Student 15,45.87,1.985
2015-1521,Student 16,54.40,2.06333
2015-1522,Student 17,47.47,1.975
2015-1523,Student 18,52.93,1.97167
2015-1524,Student 19,45.47,2.06
2015-1525,Student 20,37.87,2.125
2015-1526,Student 21,53.47,1.96
2015-1527,Student 22,49.07,2.045
2015-1528,Student 23,51.07,2.02
2015-1529,Student 24,35.60,2.21
2015-1530,Student 25,50.13,2.08833
2015-1531,Student 26,39.87,2.25
2015-1532,Student 27,45.33,2.12333
2015-1533,Student 28,50.40,1.85667
2015-1534,Student 29,41.87,2.025
2015-1535,Student 30,40.67,2.235
2015-1536,Student 31,47.73,2.38889